Ensembl Gene ID	Chromosome Name	Associated Gene Name	Gene type	EntrezGene ID	HGNC ID(s)
ENSG00000281552	CHR_HG1832_PATCH	RP4-667H12.4	processed_pseudogene		
ENSG00000280820	CHR_HG2030_PATCH	LCN1P1	unprocessed_pseudogene		HGNC:23412
ENSG00000280751	CHR_HG2104_PATCH	AKR7A2P1	processed_pseudogene		HGNC:24062
ENSG00000280632	CHR_HG2030_PATCH	Y_RNA	misc_RNA		
ENSG00000281557	CHR_HG2104_PATCH	RP11-31F15.2	lincRNA	100996251	
ENSG00000281430	CHR_HG2030_PATCH	LCN1P2	unprocessed_pseudogene		HGNC:23680
ENSG00000281813	CHR_HG2191_PATCH	KAT6B	protein_coding	23522	HGNC:17582
ENSG00000280680	CHR_HG1832_PATCH	HHAT	protein_coding	55733	HGNC:18270
ENSG00000281309	CHR_HG2030_PATCH	SURF6	protein_coding	6838	HGNC:11478
ENSG00000281877	CHR_HG2058_PATCH	RPS6KA1	protein_coding	6195	HGNC:10430
ENSG00000281434	CHR_HG2233_PATCH	NDUFA10	protein_coding	4705	HGNC:7684
ENSG00000281226	CHR_HG2095_PATCH	RP11-380J14.1	lincRNA	400743	
ENSG00000283081	CHR_HG2095_PATCH	RP11-380J14.4	lincRNA		
ENSG00000281393	CHR_HG2030_PATCH	Y_RNA	misc_RNA		
ENSG00000283034	CHR_HG2066_PATCH	ZNF445	protein_coding	353274	HGNC:21018
ENSG00000281459	CHR_HG2095_PATCH	PADI1	protein_coding	29943	HGNC:18367
ENSG00000281022	CHR_HG2030_PATCH	MED22	protein_coding	6837	HGNC:11477
ENSG00000281499	CHR_HG1832_PATCH	RNU5A-8P	snRNA		HGNC:42530
ENSG00000280937	CHR_HG1832_PATCH	RP5-879K22.1	processed_pseudogene		
ENSG00000281626	CHR_HG2066_PATCH	ZNF852	protein_coding	285346	HGNC:27713
ENSG00000280549	CHR_HG2095_PATCH	PADI3	protein_coding	51702	HGNC:18337
ENSG00000280669	CHR_HG2232_PATCH	RN7SL32P	misc_RNA		HGNC:46048
ENSG00000280781	CHR_HG2066_PATCH	EI24P3	processed_pseudogene		HGNC:44588
ENSG00000281707	CHR_HG2066_PATCH	RP11-944L7.6	processed_pseudogene		
ENSG00000281810	CHR_HG2095_PATCH	MIR3972	miRNA	100616188	HGNC:41876
ENSG00000280908	CHR_HG2095_PATCH	PADI4	protein_coding	23569	HGNC:18368
ENSG00000281699	CHR_HG2030_PATCH	RP11-244N20.7	processed_pseudogene		
ENSG00000280948	CHR_HG2058_PATCH	MIR1976	miRNA	100302190	HGNC:37064
ENSG00000281092	CHR_HG2058_PATCH	RN7SL679P	misc_RNA		HGNC:46695
ENSG00000280876	CHR_HG2058_PATCH	Y_RNA	misc_RNA		
ENSG00000281894	CHR_HG2066_PATCH	ZKSCAN7	protein_coding	55888	HGNC:12955
ENSG00000281679	CHR_HG2058_PATCH	RNU7-29P	snRNA		HGNC:34125
ENSG00000280806	CHR_HG2058_PATCH	RP11-492M19.3	processed_pseudogene		
ENSG00000280926	CHR_HG2058_PATCH	snoU13	snoRNA		
ENSG00000281835	CHR_HG2095_PATCH	AC004824.2	protein_coding		
ENSG00000281805	CHR_HG2058_PATCH	RP4-785J1.1	processed_pseudogene		
ENSG00000280858	CHR_HG2030_PATCH	RPL7A	protein_coding	6130	HGNC:10364
ENSG00000280949	CHR_HG2095_PATCH	PADI6	protein_coding	353238	HGNC:20449
ENSG00000281770	CHR_HG2191_PATCH	RP11-77G23.2	antisense		
ENSG00000281391	CHR_HG2095_PATCH	RP1-20B21.4	antisense		
ENSG00000281540	CHR_HG2095_PATCH	RCC2	protein_coding	55920	HGNC:30297
ENSG00000280889	CHR_HG2030_PATCH	SNORD24	snoRNA	26820	HGNC:10146
ENSG00000281243	CHR_HG2030_PATCH	SNORD36B	snoRNA		HGNC:10164
ENSG00000281907	CHR_HG2030_PATCH	SNORD36A	snoRNA	26815	HGNC:10163
ENSG00000281541	CHR_HG2030_PATCH	SNORD36C	snoRNA	26813	HGNC:10165
ENSG00000281456	CHR_HG2066_PATCH	RP11-944L7.4	antisense		
ENSG00000280661	CHR_HG2066_PATCH	ZNF660	protein_coding	285349	HGNC:26720
ENSG00000280795	CHR_HG2066_PATCH	MPRIPP1	processed_pseudogene		HGNC:44594
ENSG00000280627	CHR_HG2030_PATCH	SURF1	protein_coding	6834	HGNC:11474
ENSG00000281089	CHR_HG2232_PATCH	ATG16L1	protein_coding	55054	HGNC:21498
ENSG00000281709	CHR_HG2066_PATCH	ZNF197	protein_coding	10168	HGNC:12988
ENSG00000281024	CHR_HG2030_PATCH	SURF2	protein_coding	6835	HGNC:11475
ENSG00000280907	CHR_HG2066_PATCH	ZNF197-AS1	antisense	100874094	HGNC:40620
ENSG00000281306	CHR_HG2066_PATCH	ZNF35	protein_coding	7584	HGNC:13099
ENSG00000280951	CHR_HG2030_PATCH	SURF4	protein_coding	6836	HGNC:11476
ENSG00000281102	CHR_HG2066_PATCH	RP11-348P10.2	lincRNA		
ENSG00000280872	CHR_HG2066_PATCH	SOCS5P3	processed_pseudogene		HGNC:44599
ENSG00000281448	CHR_HG2066_PATCH	ZNF502	protein_coding	91392	HGNC:23718
ENSG00000281661	CHR_HG2066_PATCH	ZNF501	protein_coding	115560	HGNC:23717
ENSG00000281665	CHR_HG2066_PATCH	KIAA1143	protein_coding	57456	HGNC:29198
ENSG00000281245	CHR_HG2030_PATCH	STKLD1	protein_coding	169436	HGNC:28669
ENSG00000280706	CHR_HG2030_PATCH	REXO4	protein_coding	57109	HGNC:12820
ENSG00000280652	CHR_HG2232_PATCH	SCARNA5	scaRNA	677775	HGNC:32561
ENSG00000281388	CHR_HG2232_PATCH	SCARNA6	scaRNA	677772	HGNC:32562
ENSG00000280610	CHR_HG2066_PATCH	KIF15	protein_coding	56992	HGNC:17273
ENSG00000281857	CHR_HG2232_PATCH	SAG	protein_coding	6295	HGNC:10521
ENSG00000280928	CHR_HG2232_PATCH	RP11-400N9.1	antisense		
ENSG00000280516	CHR_HG2066_PATCH	TMEM42	protein_coding	131616	HGNC:28444
ENSG00000280516	CHR_HG2066_PATCH	TMEM42	protein_coding	693149	HGNC:28444
ENSG00000281886	CHR_HG2066_PATCH	TGM4	protein_coding	7047	HGNC:11780
ENSG00000280873	CHR_HG2232_PATCH	DGKD	protein_coding	8527	HGNC:2851
ENSG00000281244	CHR_HG2030_PATCH	ADAMTS13	protein_coding	11093	HGNC:1366
ENSG00000280701	CHR_HG2066_PATCH	RP11-272D20.2	antisense		
ENSG00000280674	CHR_HG2066_PATCH	ZDHHC3	protein_coding	51304	HGNC:18470
ENSG00000281623	CHR_HG2232_PATCH	Y_RNA	misc_RNA		
ENSG00000280479	CHR_HG2030_PATCH	CACFD1	protein_coding	11094	HGNC:1365
ENSG00000281165	CHR_HG2030_PATCH	SLC2A6	protein_coding	11182	HGNC:11011
ENSG00000281879	CHR_HG2030_PATCH	ABO	protein_coding	28	HGNC:79
ENSG00000282873	CHR_HG2247_PATCH	BCL7A	protein_coding	605	HGNC:1004
ENSG00000280651	CHR_HG2247_PATCH	AC156455.1	processed_transcript	100506691	
ENSG00000282162	CHR_HG1342_HG2282_PATCH	RP5-845O24.8	lincRNA		
ENSG00000281211	CHR_HG2062_PATCH	CTBP2P1	processed_pseudogene		HGNC:23940
ENSG00000281509	CHR_HG2291_PATCH	RP11-341D18.2	unprocessed_pseudogene		
ENSG00000283302	CHR_HG2288_HG2289_PATCH	ABC13-47488600E17.1	protein_coding		
ENSG00000283035	CHR_HG2249_PATCH	NALCN-AS1	antisense	100885778	HGNC:42743
ENSG00000281934	CHR_HG1342_HG2282_PATCH	PRAMEF11	protein_coding	440560	HGNC:14086
ENSG00000281865	CHR_HG2249_PATCH	LINC00411	lincRNA		HGNC:42744
ENSG00000281252	CHR_HG2291_PATCH	FAM230C	processed_transcript	26080	HGNC:24482
ENSG00000281175	CHR_HG2291_PATCH	AL356585.2	protein_coding		
ENSG00000281616	CHR_HG2291_PATCH	GGT4P	unprocessed_pseudogene		HGNC:33207
ENSG00000281178	CHR_HG2247_PATCH	MLXIP	protein_coding	22877	HGNC:17055
ENSG00000281084	CHR_HG2291_PATCH	RP11-341D18.5	unprocessed_pseudogene		
ENSG00000282116	CHR_HG1342_HG2282_PATCH	PRAMEF30P	unprocessed_pseudogene		HGNC:51892
ENSG00000280895	CHR_HG2291_PATCH	SETD8P1	processed_pseudogene		HGNC:30088
ENSG00000282175	CHR_HG1342_HG2282_PATCH	HNRNPCL1	protein_coding	343069	HGNC:29295
ENSG00000281878	CHR_HG2291_PATCH	RP11-341D18.6	unprocessed_pseudogene		
ENSG00000281449	CHR_HG1362_PATCH	BCL2L14	protein_coding	79370	HGNC:16657
ENSG00000280477	CHR_HG2288_HG2289_PATCH	RASA3	protein_coding	22821	HGNC:20331
ENSG00000282817	CHR_HG1342_HG2282_PATCH	PRAMEF2	protein_coding	65122	HGNC:28841
ENSG00000282584	CHR_HG1342_HG2282_PATCH	PRAMEF4	protein_coding	400735	HGNC:31971
ENSG00000282663	CHR_HG1342_HG2282_PATCH	PRAMEF10	protein_coding	343071	HGNC:27997
ENSG00000280531	CHR_HG2288_HG2289_PATCH	RASA3-IT1	sense_intronic		HGNC:39938
ENSG00000279195	CHR_HG1342_HG2282_PATCH	PRAMEF7	protein_coding	441871	HGNC:28415
ENSG00000282338	CHR_HG1342_HG2282_PATCH	RNU6-1072P	snRNA		HGNC:48035
ENSG00000282549	CHR_HG1342_HG2282_PATCH	PRAMEF29P	unprocessed_pseudogene		HGNC:51891
ENSG00000281840	CHR_HG2247_PATCH	AC156455.2	protein_coding		
ENSG00000282172	CHR_HG2290_PATCH	IGKV5-2	IG_V_gene		HGNC:5835
ENSG00000282119	CHR_HG1342_HG2282_PATCH	PRAMEF6	protein_coding	440561	HGNC:30583
ENSG00000281442	CHR_HG1362_PATCH	RP11-267J23.4	processed_pseudogene		
ENSG00000283344	CHR_HG1362_PATCH	MIR1244-4	miRNA	103504734	HGNC:50831
ENSG00000281277	CHR_HG2217_PATCH	FOXR1	protein_coding	283150	HGNC:29980
ENSG00000282791	CHR_HG1342_HG2282_PATCH	PRAMEF28P	unprocessed_pseudogene		HGNC:51890
ENSG00000282437	CHR_HG1342_HG2282_PATCH	PRAMEF27	protein_coding	101929983	HGNC:51234
ENSG00000281029	CHR_HG2217_PATCH	Metazoa_SRP	misc_RNA		
ENSG00000283318	CHR_HG2217_PATCH	Y_RNA	misc_RNA		
ENSG00000281705	CHR_HG2217_PATCH	RP11-110I1.12	lincRNA		
ENSG00000282566	CHR_HG1342_HG2282_PATCH	PRAMEF25	protein_coding	441873	HGNC:49179
ENSG00000281324	CHR_HG1362_PATCH	LRP6	protein_coding	4040	HGNC:6698
ENSG00000282559	CHR_HG1342_HG2282_PATCH	HNRNPCL3	protein_coding	649330	HGNC:51235
ENSG00000282258	CHR_HG1342_HG2282_PATCH	PRAMEF34P	unprocessed_pseudogene		HGNC:51895
ENSG00000282562	CHR_HG1342_HG2282_PATCH	PRAMEF35P	unprocessed_pseudogene		HGNC:51896
ENSG00000280975	CHR_HG2217_PATCH	CCDC84	protein_coding	338657	HGNC:30460
ENSG00000282530	CHR_HG1342_HG2282_PATCH	HNRNPCL2	protein_coding	440563	HGNC:48813
ENSG00000282468	CHR_HG1342_HG2282_PATCH	PRAMEF36P	transcribed_unprocessed_pseudogene		HGNC:51897
ENSG00000282341	CHR_HG1342_HG2282_PATCH	RP13-221M14.2	lincRNA		
ENSG00000281987	CHR_HG1342_HG2282_PATCH	PRAMEF26	protein_coding	645359	HGNC:49178
ENSG00000282095	CHR_HG1342_HG2282_PATCH	HNRNPCL4	protein_coding	101060301	HGNC:51333
ENSG00000282298	CHR_HG1342_HG2282_PATCH	PRAMEF9	protein_coding	343070	HGNC:27996
ENSG00000282741	CHR_HG1342_HG2282_PATCH	PRAMEF13	unprocessed_pseudogene		HGNC:13262
ENSG00000282212	CHR_HG1342_HG2282_PATCH	PRAMEF18	protein_coding	391003	HGNC:30693
ENSG00000282289	CHR_HG1342_HG2282_PATCH	PRAMEF31P	unprocessed_pseudogene		HGNC:51893
ENSG00000281913	CHR_HG2217_PATCH	RPL23AP64	processed_pseudogene		HGNC:36552
ENSG00000280582	CHR_HG2217_PATCH	RP11-110I1.11	antisense		
ENSG00000282424	CHR_HG1342_HG2282_PATCH	PRAMEF5	protein_coding	343068	HGNC:27995
ENSG00000281697	CHR_HG2217_PATCH	RP11-110I1.5	processed_pseudogene		
ENSG00000282216	CHR_HG1342_HG2282_PATCH	PRAMEF32P	unprocessed_pseudogene		HGNC:51894
ENSG00000282288	CHR_HG1342_HG2282_PATCH	RNU6-771P	snRNA		HGNC:47406
ENSG00000282288	CHR_HG1342_HG2282_PATCH	RNU6-771P	snRNA		HGNC:47734
ENSG00000281086	CHR_HG2191_PATCH	RP11-77G23.5	antisense		
ENSG00000280831	CHR_HG2217_PATCH	RPS25	protein_coding	6230	HGNC:10413
ENSG00000282583	CHR_HG1342_HG2282_PATCH	PRAMEF8	protein_coding	391002	HGNC:24074
ENSG00000280475	CHR_HG1362_PATCH	RP11-267J23.1	processed_pseudogene		
ENSG00000281660	CHR_HG2191_PATCH	DUPD1	protein_coding	338599	HGNC:23481
ENSG00000206783	CHR_HG1362_PATCH	RNU6-545P	snRNA		HGNC:47508
ENSG00000281874	CHR_HG1362_PATCH	RP11-757G14.3	processed_pseudogene		
ENSG00000207477	CHR_HG1362_PATCH	RNU6-318P	snRNA		HGNC:47281
ENSG00000281818	CHR_HG1362_PATCH	MANSC1	protein_coding	54682	HGNC:25505
ENSG00000282688	CHR_HG1342_HG2282_PATCH	PRAMEF15	protein_coding	653619	HGNC:26764
ENSG00000281051	CHR_HG1362_PATCH	RPL23AP66	processed_pseudogene		HGNC:35940
ENSG00000281234	CHR_HG1362_PATCH	LOH12CR2	lincRNA	503693	HGNC:26524
ENSG00000282125	CHR_HG1342_HG2282_PATCH	PRAMEF33P	unitary_pseudogene		HGNC:49193
ENSG00000280689	CHR_HG1362_PATCH	BORCS5	protein_coding	118426	HGNC:17950
ENSG00000282792	CHR_HG1342_HG2282_PATCH	PRAMEF19	protein_coding	645414	
ENSG00000282792	CHR_HG1342_HG2282_PATCH	PRAMEF19	protein_coding	653606	
ENSG00000281168	CHR_HG1362_PATCH	RP11-253I19.4	processed_pseudogene		
ENSG00000280962	CHR_HG1362_PATCH	DUSP16	protein_coding	80824	HGNC:17909
ENSG00000280495	CHR_HG2217_PATCH	TRAPPC4	protein_coding	51399	HGNC:19943
ENSG00000280495	CHR_HG2217_PATCH	TRAPPC4	protein_coding	100500840	HGNC:19943
ENSG00000281671	CHR_HG1362_PATCH	RP11-253I19.3	lincRNA		
ENSG00000281525	CHR_HG1362_PATCH	RP11-158N24.1	processed_pseudogene		
ENSG00000281860	CHR_HG2217_PATCH	RP11-110I1.6	antisense		
ENSG00000280774	CHR_HG2021_PATCH	LEUTX	protein_coding	342900	HGNC:31953
ENSG00000281677	CHR_HG2021_PATCH	LLNLR-268E12.1	lincRNA		
ENSG00000281320	CHR_HG2021_PATCH	DYRK1B	protein_coding	9149	HGNC:3092
ENSG00000281403	CHR_HG2021_PATCH	MIR6719	miRNA	102465974	HGNC:50012
ENSG00000280682	CHR_HG2217_PATCH	HYOU1	protein_coding	10525	HGNC:16931
ENSG00000280548	CHR_HG2021_PATCH	FBL	protein_coding	2091	HGNC:3599
ENSG00000280932	CHR_HG2021_PATCH	PRR13P5	processed_pseudogene		HGNC:50618
ENSG00000281221	CHR_HG2021_PATCH	PSMC4	protein_coding	5704	HGNC:9551
ENSG00000281526	CHR_HG2021_PATCH	ZNF546	protein_coding	339327	HGNC:28671
ENSG00000281233	CHR_HG2021_PATCH	CTC-471F3.5	processed_pseudogene		
ENSG00000281601	CHR_HG2021_PATCH	ZNF780B	protein_coding	163131	HGNC:33109
ENSG00000281009	CHR_HG2021_PATCH	AC005614.5	processed_transcript		
ENSG00000281163	CHR_HG2217_PATCH	RP11-110I1.14	lincRNA		
ENSG00000280967	CHR_HG2217_PATCH	RP11-110I1.13	antisense		
ENSG00000280568	CHR_HG2021_PATCH	ZNF780A	protein_coding	284323	HGNC:27603
ENSG00000280616	CHR_HG2217_PATCH	VPS11	protein_coding	55823	HGNC:14583
ENSG00000280797	CHR_HG2021_PATCH	AC005614.3	antisense		
ENSG00000281123	CHR_HG2021_PATCH	FCGBP	protein_coding	8857	HGNC:13572
ENSG00000281702	CHR_HG2217_PATCH	HMBS	protein_coding	3145	HGNC:4982
ENSG00000281500	CHR_HG2217_PATCH	SLC37A4	protein_coding	2542	HGNC:4061
ENSG00000283024	CHR_HG2334_PATCH	ATAD1	protein_coding	84896	HGNC:25903
ENSG00000282866	CHR_HG2334_PATCH	CFL1P1	transcribed_unprocessed_pseudogene	142913	HGNC:28560
ENSG00000282825	CHR_HG2213_PATCH	CTIF	protein_coding	9811	HGNC:23925
ENSG00000283092	CHR_HG2334_PATCH	RN7SL78P	misc_RNA		HGNC:46094
ENSG00000283055	CHR_HG2334_PATCH	RP11-380G5.2	sense_intronic		
ENSG00000283114	CHR_HG2116_PATCH	NDUFB11P1	processed_pseudogene		HGNC:33980
ENSG00000283120	CHR_HG2334_PATCH	RP11-380G5.3	processed_pseudogene		
ENSG00000282467	CHR_HG1651_PATCH	RP1-91N13.1	processed_pseudogene		
ENSG00000282931	CHR_HG2334_PATCH	SNORD74	snoRNA		
ENSG00000283067	CHR_HG2334_PATCH	MED6P1	processed_pseudogene		HGNC:45164
ENSG00000283059	CHR_HG2334_PATCH	KLLN	protein_coding	100144748	HGNC:37212
ENSG00000283668	CHR_HG2023_PATCH	AF146191.4	lincRNA		
ENSG00000283094	CHR_HG2334_PATCH	PTEN	protein_coding	5728	HGNC:9588
ENSG00000283153	CHR_HG2023_PATCH	FRG1	protein_coding	2483	HGNC:3954
ENSG00000282908	CHR_HG2116_PATCH	FAT3	protein_coding	120114	HGNC:23112
ENSG00000283080	CHR_HG2213_PATCH	RP11-426J5.3	TEC		
ENSG00000282900	CHR_HG2213_PATCH	MIR4743	miRNA	100616366	HGNC:41894
ENSG00000282959	CHR_HG2213_PATCH	RP11-426J5.2	antisense		
ENSG00000283002	CHR_HG2213_PATCH	RP11-46D1.2	TEC		
ENSG00000282923	CHR_HG2213_PATCH	RP11-484L8.1	antisense		
ENSG00000283062	CHR_HG2116_PATCH	PGAM1P9	processed_pseudogene		HGNC:42456
ENSG00000282929	CHR_HG2116_PATCH	RP11-675M1.2	antisense		
ENSG00000282928	CHR_HG26_PATCH	MAP4K1	protein_coding	11184	HGNC:6863
ENSG00000282050	CHR_HG2290_PATCH	IGKV7-3	IG_V_pseudogene		HGNC:5839
ENSG00000282699	CHR_HG2290_PATCH	PGBD4P5	processed_pseudogene		HGNC:44070
ENSG00000282974	CHR_HG2239_PATCH	DPP6	protein_coding	1804	HGNC:3010
ENSG00000282448	CHR_HG2290_PATCH	IGKV2-4	IG_V_pseudogene		HGNC:5788
ENSG00000282801	CHR_HG2290_PATCH	IGKV1-5	IG_V_gene		HGNC:5741
ENSG00000282163	CHR_HG2290_PATCH	IGKV1-6	IG_V_gene		HGNC:5742
ENSG00000282310	CHR_HG2290_PATCH	IGKV3-7	IG_V_gene		HGNC:5821
ENSG00000283113	CHR_HG2290_PATCH	IGKV1-8	IG_V_gene		HGNC:5743
ENSG00000282758	CHR_HG2290_PATCH	IGKV1-9	IG_V_gene		HGNC:5744
ENSG00000282248	CHR_HG2290_PATCH	IGKV2-10	IG_V_pseudogene		HGNC:5776
ENSG00000282823	CHR_HG2290_PATCH	IGKV3-11	IG_V_gene		HGNC:5815
ENSG00000282694	CHR_HG2290_PATCH	IGKV1-12	IG_V_gene		HGNC:5730
ENSG00000282603	CHR_HG2290_PATCH	IGKV1-13	IG_V_pseudogene		HGNC:5731
ENSG00000282251	CHR_HG2290_PATCH	IGKV2-14	IG_V_pseudogene		HGNC:5777
ENSG00000282447	CHR_HG2290_PATCH	IGKV3-15	IG_V_gene		HGNC:5816
ENSG00000282282	CHR_HG2290_PATCH	IGKV1-16	IG_V_gene		HGNC:5732
ENSG00000281978	CHR_HG2290_PATCH	IGKV1-17	IG_V_gene		HGNC:5733
ENSG00000282200	CHR_HG2290_PATCH	IGKV2-18	IG_V_pseudogene		HGNC:5778
ENSG00000282244	CHR_HG2290_PATCH	IGKV2-19	IG_V_pseudogene		HGNC:5779
ENSG00000282402	CHR_HG2290_PATCH	IGKV3-20	IG_V_gene		HGNC:5817
ENSG00000282210	CHR_HG2290_PATCH	IGKV6-21	IG_V_gene		HGNC:5836
ENSG00000282762	CHR_HG2290_PATCH	IGKV1-22	IG_V_pseudogene		HGNC:5734
ENSG00000282093	CHR_HG2290_PATCH	IGKV2-23	IG_V_pseudogene		HGNC:5780
ENSG00000282671	CHR_HG2290_PATCH	IGKV2-24	IG_V_gene		HGNC:5781
ENSG00000282062	CHR_HG2290_PATCH	IGKV3-25	IG_V_pseudogene		HGNC:5818
ENSG00000282622	CHR_HG2290_PATCH	IGKV2-26	IG_V_pseudogene		HGNC:5782
ENSG00000282000	CHR_HG2290_PATCH	RP11-421K23.1	unprocessed_pseudogene		
ENSG00000282666	CHR_HG2290_PATCH	IGKV1-27	IG_V_gene		HGNC:5735
ENSG00000283068	CHR_HG2072_PATCH	IBTK	protein_coding	25998	HGNC:17853
ENSG00000282025	CHR_HG2290_PATCH	IGKV2-28	IG_V_gene		HGNC:5783
ENSG00000282635	CHR_HG2290_PATCH	IGKV2-29	IG_V_pseudogene		HGNC:5784
ENSG00000282956	CHR_HG2235_PATCH	MAGI1	protein_coding	9223	HGNC:946
ENSG00000281933	CHR_HG2290_PATCH	IGKV2-30	IG_V_gene		HGNC:5785
ENSG00000282743	CHR_HG2290_PATCH	IGKV3-31	IG_V_pseudogene		HGNC:5819
ENSG00000282571	CHR_HG2290_PATCH	IGKV1-32	IG_V_pseudogene		HGNC:5736
ENSG00000282811	CHR_HG2290_PATCH	IGKV1-33	IG_V_gene		HGNC:5737
ENSG00000282149	CHR_HG2290_PATCH	IGKV3-34	IG_V_pseudogene		HGNC:5820
ENSG00000282157	CHR_HG2290_PATCH	IGKV1-35	IG_V_pseudogene		HGNC:5738
ENSG00000282646	CHR_HG2290_PATCH	IGKV2-36	IG_V_pseudogene		HGNC:5786
ENSG00000282394	CHR_HG2290_PATCH	IGKV1-37	IG_V_gene		HGNC:5739
ENSG00000282387	CHR_HG2290_PATCH	IGKV2-38	IG_V_pseudogene		HGNC:5787
ENSG00000282120	CHR_HG2290_PATCH	IGKV1-39	IG_V_gene		HGNC:5740
ENSG00000282182	CHR_HG2290_PATCH	IGKV2-40	IG_V_gene		HGNC:5789
ENSG00000283115	CHR_HG2290_PATCH	AC245015.1	protein_coding		
ENSG00000282982	CHR_HG26_PATCH	CTB-186G2.1	antisense	105372397	
ENSG00000282986	CHR_HG26_PATCH	EIF3K	protein_coding	27335	HGNC:24656
ENSG00000282867	CHR_HG2072_PATCH	RNU6-130P	snRNA		HGNC:47093
ENSG00000282877	CHR_HG2072_PATCH	RP3-492P14.2	processed_pseudogene		
ENSG00000283085	CHR_HG2072_PATCH	TPBG	protein_coding	7162	HGNC:12004
ENSG00000282844	CHR_HG26_PATCH	ACTN4	protein_coding	81	HGNC:166
ENSG00000282739	CHR_HG2235_PATCH	SLC25A26	protein_coding	115286	HGNC:20661
ENSG00000282510	CHR_HG2235_PATCH	RNU6-787P	snRNA		HGNC:47750
ENSG00000282585	CHR_HG2235_PATCH	RN7SL482P	misc_RNA		HGNC:46498
ENSG00000282976	CHR_HG26_PATCH	CTB-186G2.4	antisense		
ENSG00000282869	CHR_HG26_PATCH	CTD-2540F13.2	antisense		
ENSG00000282902	CHR_HG26_PATCH	LGALS7B	protein_coding	3963	HGNC:34447
ENSG00000282902	CHR_HG26_PATCH	LGALS7B	protein_coding	653499	HGNC:34447
ENSG00000283082	CHR_HG26_PATCH	LGALS7	protein_coding	3963	HGNC:6568
ENSG00000283082	CHR_HG26_PATCH	LGALS7	protein_coding	653499	HGNC:6568
ENSG00000283011	CHR_HG26_PATCH	RNU6-140P	snRNA		HGNC:47103
ENSG00000282992	CHR_HG26_PATCH	LGALS4	protein_coding	3960	HGNC:6565
ENSG00000282243	CHR_HG2235_PATCH	LRIG1	protein_coding	26018	HGNC:17360
ENSG00000282853	CHR_HG26_PATCH	ECH1	protein_coding	1891	HGNC:3149
ENSG00000282832	CHR_HG26_PATCH	AC104534.3	protein_coding		
ENSG00000283077	CHR_HG26_PATCH	AC104534.2	antisense		
ENSG00000282947	CHR_HG26_PATCH	HNRNPL	protein_coding	3191	HGNC:5045
ENSG00000282846	CHR_HG26_PATCH	AC008982.2	sense_intronic		
ENSG00000282895	CHR_HG26_PATCH	RINL	protein_coding	126432	HGNC:24795
ENSG00000283121	CHR_HG26_PATCH	CTC-360G5.6	antisense		
ENSG00000283100	CHR_HG26_PATCH	SIRT2	protein_coding	22933	HGNC:10886
ENSG00000282905	CHR_HG26_PATCH	NFKBIB	protein_coding	4793	HGNC:7798
ENSG00000283099	CHR_HG26_PATCH	CCER2	protein_coding	643669	HGNC:44662
ENSG00000283104	CHR_HG26_PATCH	SARS2	protein_coding	54938	HGNC:17697
ENSG00000282835	CHR_HG26_PATCH	CTC-360G5.8	protein_coding		
ENSG00000283018	CHR_HG26_PATCH	MRPS12	protein_coding	6183	HGNC:10380
ENSG00000282930	CHR_HG26_PATCH	CTC-360G5.9	lincRNA		
ENSG00000282954	CHR_HG26_PATCH	FBXO17	protein_coding	115290	HGNC:18754
